Galaxy Entertainment	Hong Kong
Gemdale	China
E-Trade Financial	United States
Kuehne & Nagel International	Switzerland
Kone	Finland
Ryanair Holdings	Ireland
Great Wall Motor	China
MGM Resorts	United States
Tokyo Gas	Japan
YPF	Argentina
Daiwa Securities	Japan
ThyssenKrupp Group	Germany
Vestas Wind Systems	Denmark
Sabanci Holding	Turkey
Mazda Motor	Japan
DP World	United Arab Emirates
Bharti Airtel	India
Valeo	France
Ameren	United States
Secom	Japan
Brighthouse Financial	United States
Hilton	United States
Wipro	India
Itaúsa	Brazil
China Huarong Asset Management	China
Amphenol	United States
Daiichi Sankyo	Japan
JSW Steel	India
Schindler Holding	Switzerland
Power Grid of India	India
Scentre Group	Australia
Seagate Technology	Ireland
OTP Bank	Hungary
Aena	Spain
Akbank	Turkey
SVB Financial Group	United States
Unum	United States
Towngas	Hong Kong
Kuwait Finance House	Kuwait
Future Land Development Holdings	China
Hindalco Industries	India
China Resources Pharmaceutical Group	Hong Kong
Eastman Chemical	United States
HCL Technologies	India
Conagra Brands	United States
CP All	Thailand
Stora Enso	Finland
Bank Leumi	Israel
Lear	United States
Kohl's	United States
MOL Hungarian Oil	Hungary
Xiamen C&D	China
S.F. Holding	China
Zijin Mining Group	China
CapitaLand	Singapore
Steinhoff International	Netherlands
Inpex	Japan
China National Nuclear Power	China
GF Securities	China
Zoetis	United States
Halkbank	Turkey
Pembina Pipeline	Canada
ASE Technology Holding	Taiwan
Taisei	Japan
TDK	Japan
Shenwan Hongyuan Group	China
Weyerhaeuser	United States
Kajima	Japan
Banque Saudi Fransi	Saudi Arabia
Cheniere Energy	United States
STMicroelectronics	Switzerland
L3Harris Technologies	United States
VakifBank	Turkey
Randstad Holding	Netherlands
South32	Australia
United Rentals	United States
Braskem	Brazil
Mediobanca	Italy
Arrow Electronics	United States
Marathon Oil	United States
Obayashi	Japan
RiseSun Real Estate Development	China
Hormel Foods	United States
Alliance Data Systems	United States
Franklin Resources	United States
China Hongqiao Group	China
Hershey	United States
CMS Energy	United States
Aluminum Corp of China	China
Severstal	Russia
Dubai Islamic Bank	United Arab Emirates
BAIC Motor	China
Julius Baer Group	Switzerland
Roper Technologies	United States
Swatch Group	Switzerland
Snam	Italy
Norsk Hydro	Norway
AntarChile	Chile
Suntory Beverage & Food	Japan
Fortescue Metals Group	Australia
MTN Group	South Africa
TCL	China
China Merchants Securities	China
Quanta Computer	Taiwan
KT	South Korea
Shanghai Pharmaceuticals	China
Scor	France
Bankia	Spain
Dollar Tree	United States
Origin Energy	Australia
Shengjing Bank	China
Ball	United States
China Gezhouba	China
Yum! Brands	United States
Air France-KLM	France
Amadeus IT Group	Spain
AGC	Japan
Arch Capital Group	Bermuda
CDW	United States
Tenaris	Luxembourg
Bank of Ireland	Ireland
Logan Property Holdings	China
Arconic	United States
Bank Hapoalim	Israel
Beiersdorf	Germany
IQVIA	United States
Vertex Pharmaceuticals	United States
Alstom	France
AvalonBay Communities	United States
CEZ Group	Czech Republic
Fiserv	United States
Bâloise Group	Switzerland
China Grand Automotive Services	China
Mylan	United Kingdom
Bank of East Asia	Hong Kong
Qurate Retail Group	United States
Krung Thai Bank	Thailand
Mahindra & Mahindra	India
CGI Group	Canada
Cemex	Mexico
Altice USA	United States
Cosco Shipping	China
Sharp	Japan
WW Grainger	United States
Leonardo	Italy
Gap	United States
American Financial Group	United States
Uni-President	Taiwan
Korea Gas	South Korea
Cenovus Energy	Canada
CenterPoint Energy	United States
Motorola Solutions	United States
SMC	Japan
Meituan Dianping	China
T Rowe Price	United States
Agile Group Holdings	China
TUI	Germany
Expedia Group	United States
Public Storage	United States
Guangzhou Rural Commercial Bank	China
Zions Bancorp	United States
Shiseido	Japan
C.H. Robinson	United States
WR Berkley	United States
Samsung SDI	South Korea
ZTE	China
Voya Financial	United States
Arab National Bank	Saudi Arabia
Centrica	United Kingdom
Financiere de l'Odet	France
Wens Foodstuff Group	China
Electronic Arts	United States
Bank Of Hangzhou	China
GS Holdings	South Korea
Pgnig Group	Poland
HollyFrontier	United States
DSV	Denmark
Intuitive Surgical	United States
Legrand	France
Inner Mongolia Baotou Steel	China
En+ Group Plc Sponsored GDR RegS	United Kingdom
Sany Heavy Industry	China
BDO Unibank	Philippines
China Gas Holdings	Hong Kong
Aeroports de Paris	France
Diamondback Energy	United States
Asr Nederland	Netherlands
NEC	Japan
Db Insurance	South Korea
JM Smucker	United States
Schaeffler	Germany
Zimmer Biomet	United States
China Jinmao	Hong Kong
Hengli Petrochemical	China
ALFA	Mexico
Shanghai Construction	China
Qatar Islamic Bank	Qatar
CJ Cheiljedang	South Korea
Turkish Airlines	Turkey
Thomson Reuters	Canada
Investor AB	Sweden
Adecco	Switzerland
Rockwell Automation	United States
Moody's	United States
Datang International Power	China
Accor	France
IndusInd Bank	India
Intact Financial	Canada
J Sainsbury	United Kingdom
Thai Beverage	Thailand
Yamaha Motor	Japan
Cintas	United States
Beijing Enterprises	Hong Kong
Gallagher	United States
Continental Resources	United States
Daito Trust Construction	Japan
China Shipbuilding Industry	China
Shin Kong Financial	Taiwan
BBMG	China
MediaTek	Taiwan
Onex	Canada
Tokyu	Japan
WellCare Health Plans	United States
Mitsubishi UFJ Lease	Japan
Celanese	United States
Hesteel	China
Interactive Brokers Group	United States
Sumitomo Metal Mining	Japan
Japan Exchange Group	Japan
Mohawk Industries	United States
Sojitz	Japan
Investec	United Kingdom
NetApp	United States
Yum China Holdings	China
Melrose Industries Plc	United Kingdom
Universal Health	United States
Gecina	France
Restaurant Brands International	Canada
Dexia	Belgium
Norwegian Cruise Line Holdings	United States
Sika	Switzerland
Zhejiang Zheneng Electric Power	China
Singapore Airlines	Singapore
Technipfmc	United Kingdom
BCI-Banco Credito	Chile
SDIC Power Holdings	China
Dassault Aviation	France
First Financial Holding	Taiwan
Barrick Gold	Canada
Shimizu	Japan
Vistra Energy	United States
Invesco	United States
Mosaic	United States
Oi	Brazil
Jiangsu Yanghe Brewery	China
Klepierre	France
SM Investments	Philippines
Harris	United States
Agilent Technologies	United States
Altice Europe	Netherlands
Joint Stock Commercial Bank for Foreign Trade of Vietnam	Vietnam
Kyushu Electric Power	Japan
Markel	United States
Welltower	United States
Twitter	United States
Kerry Group	Ireland
Angang Steel	China
Hoya	Japan
Illumina	United States
Mondi	United Kingdom
Steel Dynamics	United States
Bajaj Finserv	India
Boston Properties	United States
Insurance Australia Group	Australia
American Water Works	United States
Goodyear	United States
Banco de Sabadell	Spain
Knorr-Bremse	Germany
Annaly Capital Management	United States
Helvetia Holding	Switzerland
LG Display	South Korea
Harbin Bank	China
Alinma Bank	Saudi Arabia
Grupo Inbursa	Mexico
AGL Energy	Australia
E.Sun Financial	Taiwan
Paychex	United States
AerCap Holdings	Ireland
Rongsheng Petrochemical	China
Bunge	United States
Meiji Holdings	Japan
Bankinter	Spain
Westlake Chemical	United States
Grifols	Spain
KLA-Tencor	United States
Monster Beverage	United States
Darden Restaurants	United States
Ferrovial	Spain
Encana	Canada
Taiwan Cooperative Financial	Taiwan
Industries Qatar	Qatar
Clorox	United States
Lonza Group	Switzerland
Hankyu Hanshin Holdings	Japan
Ternium	Luxembourg
Tohoku Electric Power	Japan
BorgWarner	United States
Attijariwafa Bank	Morocco
Ulta Beauty	United States
CIFI Holdings Group	China
